"id_clean_tweet";"id_tweet";"clean_content";"tweet_label"
"1";"108040620207124480";"pemimpin cakap tentu pilih menang presiden";"positif"
"2";"111764778137034753";"payah utama payah kelola";"negatif"
"3";"130878012508995584";"ingin jadi mulai serakah";"negatif"
"4";"13391947968282627";"sosok pemimpin teladan";"positif"
"5";"13970785618100224";"tidaklayak jadi calon presiden ingin jadi tegak hukum";"negatif"
"6";"146133207375560704";"calon kandidat presiden paling kuat jauh";"positif"
"7";"146316201004503040";"tidakcocok jadi presiden";"negatif"
"8";"155624378103631872";"peluang kuat jadi";"positif"
"9";"170381110893752320";"ingat semangat";"positif"
"10";"170854754912714752";"rahmat cakap senyum bintang";"positif"
"11";"172354501255241729";"kandidat kuat capres usung";"positif"
"12";"174889653214781440";"hebat pemimpin wawas luas bisa bawa";"positif"
"13";"181008156900589569";"rakyat banget";"positif"
"14";"181008421317902337";"rakyat salut";"positif"
"15";"181013545679466496";"rakyat salut";"positif"
"16";"190432732248150016";"masuk wali amanah";"positif"
"17";"193551389841039360";"ramah tamah";"positif"
"18";"196984401408692224";"setuju sangat tidaklayak tidaklayak amat tidaklayak jadi presiden";"positif"
"19";"203104876543217664";"hebat";"positif"
"20";"206404850286735360";"negarawan teladan";"positif"
"21";"209410808394952704";"gagah karismatik banget";"positif"
"22";"209858162705182720";"salah satu lemah candu";"negatif"
"23";"210589607354564608";"hasil calon kuat presiden";"positif"
"24";"213801096299298816";"cakap jadi presiden";"positif"
"25";"214897941306028032";"tidakcocok presiden depan";"negatif"
"26";"215071681784446977";"licik tidakmalu calon diri presiden binatang";"negatif"
"27";"219295173828558849";"licik";"negatif"
"28";"221641102070001664";"rakyat pikir rakyat";"positif"
"29";"239554301683458048";"jadi idola";"positif"
"30";"247821261386960896";"konsisten ada pasti";"positif"
"31";"248265066699440130";"hebat";"positif"
"32";"248266805750136832";"hebat";"positif"
"33";"248697366016831488";"hebat";"positif"
"34";"248736394762149889";"besar susah tidakmenang begini tawa";"negatif"
"35";"251337442047700992";"bosan bewok";"negatif"
"36";"257350774168903680";"barusan ketemu ramah taksangar";"positif"
"37";"259095093288501248";"teladan dengar bukandatang duit";"positif"
"38";"260380325501345792";"calon kuat presiden";"positif"
"39";"260603887118073856";"teladan muda";"positif"
"40";"262711423598202880";"belumjadi pemimpin bohong jadi";"negatif"
"41";"263223703469432832";"agak agak muak";"negatif"
"42";"263657903100157953";"bosan";"negatif"
"43";"266559496564903936";"muak";"negatif"
"44";"267099731908493313";"contoh tidakkonsisten akhir dukung";"negatif"
"45";"267475931067715584";"ada tidakmunafik konsisten satu akhlak mulia jadi";"positif"
"46";"267492967902769153";"ada tidakmunafik konsisten satu";"positif"
"47";"270102862158258177";"sekarang ada sangat sahaja";"positif"
"48";"270748953073577984";"urus tidakbecus jadi presiden";"negatif"
"49";"271901459111624704";"patut panutan sadar diri";"positif"
"50";"273719427428663296";"nilai paling jujur bersih";"positif"
"51";"278363509933355008";"nilai mirip teladan";"positif"
"52";"280986834333478912";"figur luwes sigap";"positif"
"53";"282039776150970368";"lebih bejat jahat";"negatif"
"54";"282341526149951488";"belumdiskriminasi tokoh payah goblok";"negatif"
"55";"283504564123086848";"sigap beliau balas senyum";"positif"
"56";"283512844425781000";"elektabilitas rendah picu pecah";"negatif"
"57";"283585764971917312";"hebat";"positif"
"58";"286750541143498752";"wibawa banget";"positif"
"59";"287490212907601921";"tokoh karismatik";"positif"
"60";"287503711444537344";"oke moga makin diktator bego presiden boleh asal jangan";"negatif"
